49464508, Тимирязева 55б — Между Байзакова и Манаса,42000000,60,1981,в жилом доме,4,
24374537, мкр Мамыр-4 102/2 — проспект Абая,311111111,1100,2013,в коттедже,15,евроремонт
48699874, Тастак-2 бн — Толе Би Чайковского,55000000,220,1970,в жилом доме,6,
47731628, Гагарина 127/90 — Мынбаева,12000000,27,,в жилом доме,2,евроремонт
48330637, Сатпаева — Егизбаева,62775570,195,2016,в жилом доме,,евроремонт
47384290, Бекхожина 15 — Бегалина,52860000,176.2,2018,в жилом доме,,черновая отделка
48240874, Брусиловского 167 — Шакарима,3300000,12.3,2012,в жилом доме,1,
49309222, Шевченко 129 — Муканова,11000000,16,1985,в жилом доме,1,хорошее
47961274, Брусиловского 167 — Шакарима,10000000,37.5,2010,в жилом доме,1,хорошее
49085906, проспект Аль-Фараби 15к4В,79159760,161.6,2010,в бизнес-центре,,хорошее
28750384, Зенкова 71,1400000000,2004,1996,в административном здании,25,среднее
30177765, Сатпаева 30/а — Набережная река Есентай,87000000,197.3,2012,в бизнес-центре,4,евроремонт
49585055, Саина 279 — Жандосова,36396400,95.8,2019,,,
49585054, Бекхожина 15 — Бегалина,54450000,181.5,2019,,,
49585049, Бекхожина 15 — Бегалина,51630000,172.1,2019,,,
49585037, Бекхожина 15 — Бегалина,51630000,172.1,2019,,,
49585041, Бекхожина 15 — Бегалина,54450000,181.5,2019,,,
49585008, Жарокова 95 — Курмангазы,33000000,42.5,,,2,
49585048, Саина 279 — Жандосова,42320600,111.4,2019,,,
49585036, Саина 279 — Жандосова,42320600,111.4,2019,,,
49585042, Саина 279 — Жандосова,36396400,95.8,2019,,,
49585022, Бекхожина 15 — Бегалина,55740000,185.8,2019,,,
49585021, Бекхожина 15 — Бегалина,59010000,196.7,2019,,,
49585024, Бекхожина 15 — Бегалина,58650000,195.5,2019,,,
49585023, Саина 279 — Жандосова,78002600,205.3,2019,,,
49585020, Сейфуллина 574/1 — Аль-Фараби,182900000,365.8,2019,,,
49585025, Сейфуллина 574/1 — Аль-Фараби,175300000,350.6,2019,,,
49585005, Маркова 46 — Тимирязева,26000000,46,1980,,3,
49585001, Косая Егизбаева — Солодовникова,62678992,194.7,2014,,,
49584997, Гоголя 176/2 — Чокина,70000000,100,1993,,,
49584990, Сатпаева 30А/1 — Шагабутдинова,46000000,75.7,2017,,,
49584988, Абая 30,38000000,60,1964,,3,
49584800, Маметовой 56 — Наурызбай Батыра,98999999,111.8,,в жилом доме,,евроремонт
13773945, Яссауи 55 — Пионерская,152602800,362.7,,в жилом доме,8,хорошее
26114609, Бальзака 4А,152000000,408,2017,в жилом доме,4,свободная планировка
49584075, Аль-Фараби 7 — Козыбаева,45000000,90,2008,,2,черновая отделка
49562275, проспект Аль-Фараби 15к4В — Желтоксан,79159760,161.6,2010,в бизнес-центре,,хорошее
49561996, проспект Аль-Фараби 15к4В — Желтоксан,52218010,106.6,2010,в бизнес-центре,,хорошее
49561927, проспект Аль-Фараби 15к4В — Желтоксан,51924100,106,2010,в бизнес-центре,,хорошее
49561891, проспект Аль-Фараби 15к4В — Желтоксан,52218010,106.6,2010,в бизнес-центре,,хорошее
49561785, Аль-Фараби 15к4В — Желтоксан,183595780,374.8,,,,хорошее
47316383, Манаса 24а — Абая Манаса,19980000,3,2015,в жилом доме,3,черновая отделка
48077358, Сатпаева 30А/3 — Весновка,87000000,207,2007,в жилом доме,5,
17893229, мкр Ерменсай,66000000,178.6,,в коттедже,4,черновая отделка
26564009, проспект Райымбека,344000000,365,,в жилом доме,,евроремонт
29159522, проспект Аль-Фараби 19к — Желтоксан,385000000,392,2009,в бизнес-центре,,евроремонт
48159565, Бухар Жырау 27/5 — Маркова,83000000,150,2010,в жилом доме,6,евроремонт
47145992, Панфилова — Курмангазы,63000000,60,,в жилом доме,,евроремонт
17276706, Майлина,139000000,600,2015,,12,евроремонт
29697883, Гоголя 176/2 — Исаева,20500000,44,2017,,2,евроремонт
47356459, мкр Орбита-3 39 — Саина,65000000,600,1982,в жилом доме,10,хорошее
/1162646, Туркебаева 257г — Сатпаева,252222222,680,,в административном здании,18,евроремонт
49582178, Брусиловского 167 — Шакарима,240000,38,2012,в жилом доме,2,хорошее
